Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,4.916571,5.113334,4.390792,4.872238,4.872238,8237356337
2005-02-01,4.841353,5.399760,4.508103,4.682200,4.682200,13073210618
2005-03-01,4.714579,4.728526,4.298140,4.495898,4.495898,6903740285
2005-04-01,4.527032,5.597519,4.479211,5.479462,5.479462,9101631755
2005-05-01,5.530520,6.934010,5.484692,6.905865,6.905865,10188799510
2005-06-01,7.053562,7.702380,6.660784,7.326289,7.326289,15618390955
2005-07-01,7.348456,7.915331,7.147958,7.167136,7.167136,8228691980
2005-08-01,7.176102,7.465019,6.808231,7.123300,7.123300,5740311751
2005-09-01,7.121059,7.993787,7.098393,7.881956,7.881956,6831639042
2005-10-01,7.811471,9.333765,7.239863,9.268758,9.268758,7747430832
2005-11-01,9.261785,10.740741,9.190801,10.084949,10.084949,8498379059
2005-12-01,10.191799,11.113594,9.938000,10.332770,10.332770,7981071306
2006-01-01,10.523555,11.833396,9.831649,10.776108,10.776108,12006439028
2006-02-01,9.689432,10.124551,8.414211,9.031647,9.031647,11945607870
2006-03-01,9.179593,9.937751,8.257798,9.713591,9.713591,12316553076
2006-04-01,9.701885,11.225922,9.662034,10.409483,10.409483,7440364169
2006-05-01,10.422683,10.446843,8.980589,9.260788,9.260788,7063970623
2006-06-01,9.303628,10.444103,9.255309,10.444103,10.444103,5716571099
2006-07-01,10.461787,10.657304,9.406990,9.628908,9.628908,5119995337
2006-08-01,9.591798,9.713591,9.050078,9.427912,9.427912,4294918292
2006-09-01,9.489182,10.428163,9.382831,10.009980,10.009980,4880280180
2006-10-01,10.009980,12.253072,9.917576,11.865276,11.865276,6364325977
2006-11-01,11.924305,12.777108,11.583084,12.074990,12.074990,4755369734
2006-12-01,12.104131,12.264031,11.266271,11.469011,11.469011,3680311197
2007-01-01,11.606496,12.777108,11.484703,12.490682,12.490682,5002163322
2007-02-01,12.602762,12.603011,11.034639,11.194291,11.194291,4573643120
2007-03-01,11.025424,11.606496,10.884203,11.411228,11.411228,4742365168
2007-04-01,11.401265,12.266522,11.260792,11.740494,11.740494,3732277253
2007-05-01,11.760668,12.672002,11.392548,12.401267,12.401267,3998198267
2007-06-01,12.478229,13.324805,12.393297,13.018703,13.018703,5181284205
2007-07-01,13.088192,13.912353,12.425426,12.702388,12.702388,4682718433
2007-08-01,12.714842,13.121318,11.966646,12.833148,12.833148,3561326880
2007-09-01,12.827420,14.241370,12.724306,14.128792,14.128792,2786959199
2007-10-01,14.196040,17.608997,14.187073,17.608997,17.608997,6241346740
2007-11-01,17.504141,18.611240,15.342991,17.260303,17.260303,6884717244
2007-12-01,17.210739,18.052336,16.251585,17.222446,17.222446,3425355126
2008-01-01,17.257067,17.369146,12.926548,14.054819,14.054819,6335233336
2008-02-01,13.167395,13.475491,11.129534,11.735512,11.735512,7113985391
