Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,15.822500,15.835000,13.025000,13.500000,10.556107,466645200
2005-02-01,13.540000,13.745000,12.285000,12.952500,10.127995,316263600
2005-03-01,12.972500,13.897500,12.680000,12.915000,10.098673,269286000
2005-04-01,13.057500,13.095000,11.145000,12.380000,9.680341,425663200
2005-05-01,12.475000,13.930000,12.300000,13.697500,10.710538,263134400
2005-06-01,13.730000,14.225000,12.880000,12.915000,10.098673,228436400
2005-07-01,12.932500,13.597500,12.320000,13.137500,10.272653,272621600
2005-08-01,13.137500,13.192500,12.000000,12.257500,9.584548,216531200
2005-09-01,12.450000,12.540000,11.502500,12.525000,9.793720,266210400
2005-10-01,12.577500,14.245000,12.430000,14.140000,11.056543,280288200
2005-11-01,14.150000,16.000000,14.035000,15.225000,11.904939,232694200
2005-12-01,15.170000,16.230000,14.970000,15.005000,11.732916,181387400
2006-01-01,15.285000,16.160000,14.950000,15.850000,12.393648,167365600
2006-02-01,15.640000,18.434999,15.570000,18.160000,14.199911,248202600
2006-03-01,18.165001,19.055000,17.365000,18.815001,14.712084,225956600
2006-04-01,18.990000,19.750000,18.385000,18.635000,14.571337,196322200
2006-05-01,18.815001,19.940001,17.299999,17.825001,13.937965,335908200
2006-06-01,17.745001,19.010000,17.455000,18.879999,14.762906,254581400
2006-07-01,18.980000,19.165001,16.465000,17.115000,13.382794,310443000
2006-08-01,16.995001,16.995001,14.360000,15.505000,12.123883,529827200
2006-09-01,15.805000,17.520000,15.265000,17.025000,13.312421,318108400
2006-10-01,17.075001,19.750000,16.805000,18.875000,14.758996,369074600
2006-11-01,18.995001,20.004999,17.580000,17.645000,13.797217,329611600
2006-12-01,17.625000,18.570000,17.450001,17.709999,13.848051,209947800
2007-01-01,17.799999,18.305000,16.745001,17.469999,13.660380,323527400
2007-02-01,17.565001,17.709999,15.120000,15.450000,12.080874,389013200
2007-03-01,15.100000,16.225000,14.430000,15.680000,12.260721,555995600
2007-04-01,15.770000,16.150000,15.150000,15.510000,12.127794,353030400
