Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,26.799999,27.100000,25.639999,26.280001,18.339533,1521414300
2005-02-01,26.250000,26.500000,25.129999,25.160000,17.557940,1361126000
2005-03-01,25.190001,25.790001,23.820000,24.170000,16.919109,1541411300
2005-04-01,24.240000,25.450001,23.940001,25.299999,17.710106,1520253700
2005-05-01,25.230000,26.090000,24.639999,25.799999,18.060112,1270563700
2005-06-01,25.730000,26.000000,24.820000,24.840000,17.443262,1303029500
2005-07-01,24.850000,26.480000,24.500000,25.610001,17.983978,1321407700
2005-08-01,25.809999,27.940001,25.760000,27.379999,19.226919,1441979300
2005-09-01,27.379999,27.389999,25.120001,25.730000,18.121841,1348861500
2005-10-01,25.709999,25.799999,24.250000,25.700001,18.100712,1439659900
2005-11-01,25.610001,28.250000,25.610001,27.680000,19.495241,1444948300
2005-12-01,27.730000,28.100000,26.100000,26.150000,18.471640,1271695500
2006-01-01,26.250000,28.379999,26.100000,28.150000,19.884380,1388622700
2006-02-01,27.959999,28.070000,26.340000,26.870001,18.980225,1047699000
2006-03-01,26.980000,28.219999,26.620001,27.209999,19.285521,1437940900
2006-04-01,27.670000,27.940001,24.000000,24.150000,17.116701,1446126900
2006-05-01,24.320000,25.000000,22.450001,22.650000,16.053551,2309193400
2006-06-01,22.740000,23.650000,21.459999,23.299999,16.578642,1971637200
2006-07-01,23.530001,24.600000,22.230000,24.059999,17.119413,1332298100
2006-08-01,24.020000,26.250000,23.850000,25.700001,18.286314,1134188400
2006-09-01,25.889999,27.520000,25.389999,27.350000,19.532013,1097482600
2006-10-01,27.320000,28.850000,27.150000,28.709999,20.503248,1290967400
2006-11-01,28.780001,30.000000,28.580000,29.360001,20.967443,1239142000
2006-12-01,29.230000,30.260000,28.799999,29.860001,21.397427,1137160900
2007-01-01,29.910000,31.480000,29.400000,30.860001,22.114023,1324518200
2007-02-01,30.840000,30.940001,27.790001,28.170000,20.186380,1290850900
2007-03-01,27.820000,28.549999,26.600000,27.870001,20.040665,1269506500
2007-04-01,27.889999,30.740000,27.559999,29.940001,21.529148,958964900
2007-05-01,29.940001,31.160000,29.900000,30.690001,22.068451,1327154700
2007-06-01,30.790001,30.900000,29.040001,29.469999,21.259821,1181412800
2007-07-01,29.670000,31.840000,28.950001,28.990000,20.913553,1295548000
2007-08-01,28.950001,30.100000,27.510000,28.730000,20.725983,1228579500
2007-09-01,28.500000,29.850000,28.270000,29.459999,21.327101,1117419500
2007-10-01,29.459999,37.000000,29.290001,36.810001,26.648016,1772076700
2007-11-01,36.529999,37.500000,32.680000,33.599998,24.324188,1830846800
2007-12-01,33.500000,36.720001,32.630001,35.599998,25.857267,1064817100
2008-01-01,35.790001,35.959999,31.040001,32.599998,23.678272,1950301600
2008-02-01,31.059999,33.250000,27.020000,27.200001,19.756123,2324580800
2008-03-01,27.240000,29.590000,26.870001,28.379999,20.693268,1452390200
2008-04-01,28.830000,32.099998,27.930000,28.520000,20.795353,1444720000
2008-05-01,28.500000,30.530001,27.950001,28.320000,20.649525,1405170200
